category,intent,keyword,tfidf score
ACCOUNT,delete_account,account,0.10095686251567185
ACCOUNT,delete_account,account cancel,0.013790959966416313
ACCOUNT,delete_account,account close,0.01425025691510699
ACCOUNT,delete_account,account could,0.004219911147101257
ACCOUNT,delete_account,account delete,0.011735694089119463
ACCOUNT,delete_account,account help,0.007842395061875758
ACCOUNT,delete_account,account help close,0.0030995447193473665
ACCOUNT,delete_account,account need,0.006400336623980263
ACCOUNT,delete_account,account need help,0.006400336623980263
ACCOUNT,delete_account,account please,0.01387567232014579
ACCOUNT,delete_account,account remove,0.01723342247329293
ACCOUNT,delete_account,account want,0.007552902959577326
ACCOUNT,delete_account,agent,0.036666712429581104
ACCOUNT,delete_account,agent cancel,0.009873061280601093
ACCOUNT,delete_account,agent cancel account,0.00431263173892113
ACCOUNT,delete_account,agent cancel online,0.002738212035534102
ACCOUNT,delete_account,agent close,0.012687092398899437
ACCOUNT,delete_account,agent close account,0.003325965498077796
ACCOUNT,delete_account,agent could,0.012183028597985172
ACCOUNT,delete_account,agent could cancel,0.003130989648627565
ACCOUNT,delete_account,agent could close,0.0039072541231386735
ACCOUNT,delete_account,agent could delete,0.003609393262936588
ACCOUNT,delete_account,agent could remove,0.005315268601148914
ACCOUNT,delete_account,agent delete,0.01116042514784173
ACCOUNT,delete_account,agent delete profile,0.005249494052987335
ACCOUNT,delete_account,agent delete user,0.004689273455473691
ACCOUNT,delete_account,agent remove,0.010466341558122863
ACCOUNT,delete_account,agent remove profile,0.0038561102040499382
ACCOUNT,delete_account,ask,0.03700404738450216
ACCOUNT,delete_account,ask agent,0.035949960870931524
ACCOUNT,delete_account,ask agent cancel,0.009873061280601093
ACCOUNT,delete_account,ask agent close,0.011991514748927611
ACCOUNT,delete_account,ask agent could,0.012183028597985172
ACCOUNT,delete_account,ask agent delete,0.010608420668999918
ACCOUNT,delete_account,ask agent remove,0.010466341558122863
ACCOUNT,delete_account,cancel,0.06336450902061751
ACCOUNT,delete_account,cancel account,0.02304525748973092
ACCOUNT,delete_account,cancel online,0.017326438372650695
ACCOUNT,delete_account,cancel online account,0.01598646263153648
ACCOUNT,delete_account,cancel profile,0.020180565397745986
ACCOUNT,delete_account,cancel user,0.015808739214496874
ACCOUNT,delete_account,cancel user account,0.015503385155710309
ACCOUNT,delete_account,change,0.05659010310290135
ACCOUNT,delete_account,change mind,0.055616654987196805
ACCOUNT,delete_account,change mind cancel,0.01646093811267347
ACCOUNT,delete_account,change mind close,0.01639058379485059
ACCOUNT,delete_account,change mind delete,0.01526179935962415
ACCOUNT,delete_account,change mind help,0.008328856745870819
ACCOUNT,delete_account,change mind need,0.007850198444286123
ACCOUNT,delete_account,change mind remove,0.016301515368750207
ACCOUNT,delete_account,change mind want,0.00927751944517278
ACCOUNT,delete_account,close,0.06307776058118321
ACCOUNT,delete_account,close account,0.01951666179343248
ACCOUNT,delete_account,close fuck,0.0039904185995243285
ACCOUNT,delete_account,close online,0.01743903512362986
ACCOUNT,delete_account,close online account,0.01743903512362986
ACCOUNT,delete_account,close profile,0.021542532584292763
ACCOUNT,delete_account,close user,0.015460450642153995
ACCOUNT,delete_account,close user account,0.015036218162161174
ACCOUNT,delete_account,closing,0.005538520252706466
ACCOUNT,delete_account,could,0.023933809891104878
ACCOUNT,delete_account,could ask,0.010361737649082188
ACCOUNT,delete_account,could ask agent,0.010361737649082188
ACCOUNT,delete_account,could cancel,0.003547929098908927
ACCOUNT,delete_account,could close,0.00520398636210298
ACCOUNT,delete_account,could delete,0.004610115203061198
ACCOUNT,delete_account,could remove,0.007098044721807687
ACCOUNT,delete_account,delete,0.05757095090031605
ACCOUNT,delete_account,delete account,0.01919988583019645
ACCOUNT,delete_account,delete fuck,0.002495091598761783
ACCOUNT,delete_account,delete online,0.01474177388655111
ACCOUNT,delete_account,delete online account,0.01474177388655111
ACCOUNT,delete_account,delete profile,0.01810304894729347
ACCOUNT,delete_account,delete user,0.0163592665631441
ACCOUNT,delete_account,delete user account,0.01492410549866824
ACCOUNT,delete_account,dont,0.017811674117217922
ACCOUNT,delete_account,dont want,0.017071360431453082
ACCOUNT,delete_account,dont want account,0.005482569253478107
ACCOUNT,delete_account,dont want online,0.004333911586930619
ACCOUNT,delete_account,dont want profile,0.006606876912124712
ACCOUNT,delete_account,dont want user,0.003525098162084497
ACCOUNT,delete_account,fuck,0.011970787187154141
ACCOUNT,delete_account,fuck account,0.004163324494320912
ACCOUNT,delete_account,fuck account please,0.002411604288599387
ACCOUNT,delete_account,fuck online,0.003640475386585814
ACCOUNT,delete_account,fuck online account,0.003640475386585814
ACCOUNT,delete_account,fuck profile,0.0033049972819564725
ACCOUNT,delete_account,fuck user,0.004555619274382248
ACCOUNT,delete_account,fuck user account,0.004555619274382248
ACCOUNT,delete_account,fucking,0.004886962016261178
ACCOUNT,delete_account,help,0.036494933727563204
ACCOUNT,delete_account,help cancel,0.01318973709473173
ACCOUNT,delete_account,help close,0.010732643501095148
ACCOUNT,delete_account,help closing,0.005538520252706466
ACCOUNT,delete_account,help delete,0.012214606547011128
ACCOUNT,delete_account,help remove,0.010126533818754656
ACCOUNT,delete_account,like,0.007091280540267383
ACCOUNT,delete_account,mind,0.05682058382787451
ACCOUNT,delete_account,mind cancel,0.0174633004890695
ACCOUNT,delete_account,mind cancel account,0.005279475338694726
ACCOUNT,delete_account,mind cancel online,0.004080413087967811
ACCOUNT,delete_account,mind cancel profile,0.0070406449519179225
ACCOUNT,delete_account,mind cancel user,0.006192413464442975
ACCOUNT,delete_account,mind close,0.01639058379485059
ACCOUNT,delete_account,mind close account,0.005134119703347293
ACCOUNT,delete_account,mind close online,0.005127957976792891
ACCOUNT,delete_account,mind close profile,0.006320261053858292
ACCOUNT,delete_account,mind close user,0.004019453601401087
ACCOUNT,delete_account,mind delete,0.016266301327323245
ACCOUNT,delete_account,mind delete account,0.006353687639127521
ACCOUNT,delete_account,mind delete online,0.005052439260076199
ACCOUNT,delete_account,mind delete profile,0.0051364562864609125
ACCOUNT,delete_account,mind delete user,0.004129037748373591
ACCOUNT,delete_account,mind help,0.008328856745870819
ACCOUNT,delete_account,mind need,0.008228570401981198
ACCOUNT,delete_account,mind need help,0.008228570401981198
ACCOUNT,delete_account,mind remove,0.01671565453378605
ACCOUNT,delete_account,mind remove account,0.005830776666809861
ACCOUNT,delete_account,mind remove online,0.007237464394386776
ACCOUNT,delete_account,mind remove profile,0.004414173274496682
ACCOUNT,delete_account,mind remove user,0.003467239135048713
ACCOUNT,delete_account,mind want,0.00927751944517278
ACCOUNT,delete_account,mind want cancel,0.004063093469687632
ACCOUNT,delete_account,na,0.011904420798681831
ACCOUNT,delete_account,na cancel,0.0035250413966967774
ACCOUNT,delete_account,na close,0.00494982025741836
ACCOUNT,delete_account,na remove,0.0035728060041310423
ACCOUNT,delete_account,need,0.020434342746002542
ACCOUNT,delete_account,need help,0.020434342746002542
ACCOUNT,delete_account,need help cancel,0.004385774989090399
ACCOUNT,delete_account,need help closing,0.005538520252706466
ACCOUNT,delete_account,need help delete,0.006578380120779687
ACCOUNT,delete_account,need help remove,0.006179706191412833
ACCOUNT,delete_account,online,0.05546445640366204
ACCOUNT,delete_account,online account,0.05467411127531998
ACCOUNT,delete_account,online account cancel,0.003970894081783632
ACCOUNT,delete_account,online account close,0.004220494281604633
ACCOUNT,delete_account,online account delete,0.0038065685508041364
ACCOUNT,delete_account,online account please,0.0062785475534368
ACCOUNT,delete_account,online account remove,0.006249630965291729
ACCOUNT,delete_account,please,0.02295322437134246
ACCOUNT,delete_account,please ask,0.00798644221052262
ACCOUNT,delete_account,please ask agent,0.007085378838399269
ACCOUNT,delete_account,please could,0.0028389763483244383
ACCOUNT,delete_account,please could ask,0.0028389763483244383
ACCOUNT,delete_account,profile,0.0692660526617032
ACCOUNT,delete_account,profile cancel,0.006138525407776369
ACCOUNT,delete_account,profile close,0.005798937264821901
ACCOUNT,delete_account,profile delete,0.007238848940543848
ACCOUNT,delete_account,profile need,0.002613893821156525
ACCOUNT,delete_account,profile need help,0.002613893821156525
ACCOUNT,delete_account,profile please,0.002831013238244579
ACCOUNT,delete_account,profile remove,0.00590753460320907
ACCOUNT,delete_account,remove,0.06488617355835508
ACCOUNT,delete_account,remove account,0.022415269315996824
ACCOUNT,delete_account,remove account please,0.002816231371980665
ACCOUNT,delete_account,remove fuck,0.004284419952925303
ACCOUNT,delete_account,remove online,0.01558989037613551
ACCOUNT,delete_account,remove online account,0.01558989037613551
ACCOUNT,delete_account,remove profile,0.020650488123400267
ACCOUNT,delete_account,remove user,0.017342137669953687
ACCOUNT,delete_account,remove user account,0.017342137669953687
ACCOUNT,delete_account,user,0.0558157177826883
ACCOUNT,delete_account,user account,0.05479380039289543
ACCOUNT,delete_account,user account cancel,0.005694740891997717
