category,intent,keyword,intent_tfidf,category_tfidf,total_tfidf
ACCOUNT,create_account,account,164.59,283.93,448.52
ACCOUNT,create_account,one,129.29,159.37,288.66
ACCOUNT,create_account,create,115.32,139.52,254.84
ACCOUNT,create_account,user,98.89,155.75,254.63
ACCOUNT,create_account,register,96.93,109.74,206.67
ACCOUNT,create_account,online,96.87,151.83,248.71
ACCOUNT,create_account,user account,89.71,141.67,231.39
ACCOUNT,create_account,email,88.82,102.79,191.62
ACCOUNT,create_account,create one,87.79,98.23,186.02
ACCOUNT,create_account,online account,86.08,136.78,222.87
ACCOUNT,create_account,want,83.38,161.95,245.33
ACCOUNT,create_account,open,81.35,90.83,172.18
ACCOUNT,create_account,got,78.17,85.29,163.45
ACCOUNT,create_account,open one,67.24,72.05,139.29
ACCOUNT,create_account,accounts,66.38,92.39,158.77
ACCOUNT,create_account,tell,62.22,68.14,130.36
ACCOUNT,create_account,profile,60.57,143.41,203.97
ACCOUNT,create_account,account open,59.12,61.64,120.76
ACCOUNT,create_account,account open one,59.12,61.64,120.76
ACCOUNT,create_account,account create one,58.15,60.39,118.54
ACCOUNT,create_account,account create,58.15,60.39,118.54
ACCOUNT,create_account,single,57.63,62.19,119.82
ACCOUNT,create_account,single email,57.45,61.94,119.39
ACCOUNT,create_account,address,57.4,62.02,119.41
ACCOUNT,create_account,email address,57.25,61.8,119.05
ACCOUNT,create_account,several,55.5,59.42,114.92
ACCOUNT,create_account,dont,54.1,95.47,149.58
ACCOUNT,create_account,need,53.94,79.03,132.97
ACCOUNT,create_account,ive,49.82,51.92,101.74
ACCOUNT,create_account,ive got,49.62,51.67,101.28
ACCOUNT,create_account,help,49.29,99.06,148.35
ACCOUNT,create_account,havent,47.8,49.77,97.58
ACCOUNT,create_account,could,35.24,63.67,98.91
ACCOUNT,create_account,please,33.04,59.84,92.88
ACCOUNT,delete_account,account,77.8,283.93,361.72
ACCOUNT,delete_account,want,56.34,161.95,218.29
ACCOUNT,delete_account,profile,51.48,143.41,194.88
ACCOUNT,delete_account,remove,50.17,62.12,112.3
ACCOUNT,delete_account,close,47.74,58.82,106.56
ACCOUNT,delete_account,delete,45.87,55.67,101.54
ACCOUNT,delete_account,cancel,45.79,55.64,101.43
ACCOUNT,delete_account,mind,45.15,56.0,101.15
ACCOUNT,delete_account,changed,44.91,55.43,100.34
ACCOUNT,delete_account,changed mind,44.69,54.94,99.63
ACCOUNT,delete_account,dont,44.27,95.47,139.75
ACCOUNT,delete_account,dont want,43.85,55.74,99.59
ACCOUNT,delete_account,online,43.58,151.83,195.41
ACCOUNT,delete_account,online account,43.36,136.78,180.14
ACCOUNT,delete_account,user,43.29,155.75,199.04
ACCOUNT,delete_account,user account,42.88,141.67,184.55
ACCOUNT,delete_account,ask,29.24,67.26,96.5
ACCOUNT,delete_account,agent,29.21,67.24,96.44
ACCOUNT,delete_account,ask agent,28.98,66.67,95.65
ACCOUNT,delete_account,help,24.52,99.06,123.58
ACCOUNT,delete_account,could,17.3,63.67,80.98
ACCOUNT,delete_account,please,16.65,59.84,76.49
ACCOUNT,delete_account,need,14.44,79.03,93.47
ACCOUNT,delete_account,need help,14.2,49.77,63.97
ACCOUNT,edit_account,profile,16.12,143.41,159.52
ACCOUNT,edit_account,agent,6.73,67.24,73.96
ACCOUNT,edit_account,want,6.65,161.95,168.6
ACCOUNT,edit_account,ask,6.58,67.26,73.84
ACCOUNT,edit_account,ask agent,6.5,66.67,73.16
ACCOUNT,edit_account,help,5.28,99.06,104.34
ACCOUNT,edit_account,could,2.86,63.67,66.53
